,0
0,26190.8
1,26126.0
2,26039.9
3,26436.2
4,26177.0
5,26057.2
6,26017.1
7,26100.6
8,26118.9
9,27723.9
10,27298.8
11,25937.3
12,25803.2
13,25869.7
14,25971.0
15,25823.3
16,25790.2
17,25758.0
18,26249.8
19,25909.5
20,25901.1
21,25840.2
22,25166.4
23,25834.5
24,26223.0
25,26524.7
26,26601.0
27,26562.0
28,26529.1
29,26763.5
30,27209.2
31,27125.0
32,26570.0
33,26581.9
34,26579.2
35,26251.5
36,26302.7
37,26218.9
38,26366.1
39,27022.6
40,26909.8
41,26962.7
42,27974.5
43,27505.3
44,27428.4
45,27790.9
46,27410.3
47,27936.9
48,27961.1
49,27922.7
50,27581.4
51,27391.0
52,26876.6
53,26761.1
54,26863.5
55,26852.8
56,27161.2
57,28509.7
58,28403.6
59,28321.7
60,28723.0
61,29674.5
62,29912.9
63,29984.2
64,33041.8
65,33917.0
66,34496.8
67,34153.7
68,33901.8
69,34082.6
70,34526.7
71,34477.9
72,34650.6
73,35423.8
74,34931.4
75,34718.7
76,35065.8
77,35019.4
78,35042.0
79,35426.1
80,35636.9
81,36700.5
82,37303.0
83,37150.5
84,37064.4
85,36478.3
86,35549.3
87,37874.9
88,36161.2
89,36595.4
90,36568.6
91,37354.2
92,37454.1
93,35813.6
94,37410.8
95,37293.1
96,37717.3
97,37787.0
98,37451.8
99,37248.6
100,37823.3
101,37855.5
102,37712.9
103,38688.2
104,39458.4
105,39970.2
106,41987.8
107,44076.2
108,43776.3
109,43289.7
110,44175.5
111,43718.4
112,43791.0
113,41256.1
114,41487.0
115,42884.5
116,43025.9
117,41929.0
118,42271.7
119,41368.7
120,42659.7
121,42259.3
122,43662.8
123,43865.9
124,43968.9
125,43710.4
126,42981.5
127,43578.5
128,42513.3
129,43446.5
130,42581.1
131,42072.4
132,42136.7
133,42272.5
134,44183.4
135,44943.7
136,42836.1
137,44157.0
138,44156.9
139,43967.9
140,43927.3
141,46962.2
142,46129.0
143,46629.3
144,46348.2
145,42835.9
146,42851.3
147,41746.1
148,42510.7
149,43145.5
150,42768.7
151,41292.7
152,41648.0
153,41695.4
154,41583.2
155,39556.4
156,39888.8
157,40086.0
158,39935.7
159,41811.3
160,42120.9
161,42030.7
162,43299.8
163,42946.2
164,42580.5
165,43081.4
166,43194.7
167,43005.7
168,42581.4
169,42697.2
170,43087.7
171,44339.8
172,45293.3
173,47127.5
174,47758.2
175,48277.3
176,49941.3
177,49716.0
178,51782.4
179,51901.3
180,52134.2
181,51646.0
182,52117.5
183,51783.6
184,52263.5
185,51858.2
186,51320.4
187,50740.5
188,51571.6
189,51722.7
190,54495.1
191,57056.2
192,62467.6
193,61169.3
194,62397.7
195,61994.5
196,63135.8
197,68270.1
198,63792.6
199,66080.4
200,66855.3
201,68172.0
202,68366.5
203,68964.8
204,72099.1
205,71470.2
206,73066.3
207,71387.5
208,69463.7
209,65314.19999999999
210,68391.2
211,67594.1
212,62050.0
213,67854.0
214,65503.8
215,63785.5
216,64037.8
217,67211.9
218,69892.0
219,69999.3
220,69442.4
221,70762.1
222,69871.7
223,69611.5
224,71332.0
225,69664.4
226,65439.19999999999
227,65963.0
228,68496.5
229,67830.6
230,68890.6
231,69360.4
232,71630.1
233,69148.0
234,70622.1
235,70011.6
236,67151.9
237,63849.9
238,65697.4
239,63411.9
240,63805.3
241,63481.4
242,63799.1
243,64961.09999999999
244,64940.2
245,66829.3
246,66415.0
247,64285.69999999999
248,64497.1
249,63766.4
250,63456.8
251,63109.7
252,63860.1
253,60666.6
254,58331.2
255,59121.3
256,62877.5
257,63888.299999999996
258,64006.4
259,63163.1
260,62317.7
261,61207.5
262,63075.0
263,60796.9
264,60826.6
265,61480.0
266,60979.2
